HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.city_A,Input.city_B,Answer.equal.label,Approve,Reject
3UOMW19E7N3ZMZNL5004LQFZO5G5C5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,39GAF6DQW2XYKAQWLWYZWCMVM6DV1O,A2572CYRIYT5JQ,Submitted,Tue Feb 08 16:17:01 PST 2022,Tue Feb 08 16:17:10 PST 2022,Fri Feb 11 16:17:10 PST 2022,,,,9,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Los Angeles, CA",City A,,
3UOMW19E7N3ZMZNL5004LQFZO5G5C5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3PPTZCWAL1H3AYFN78DHIJ7ZITBZQN,A2FO6J0H70OW05,Submitted,Tue Feb 08 16:16:56 PST 2022,Tue Feb 08 16:17:05 PST 2022,Fri Feb 11 16:17:05 PST 2022,,,,9,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Los Angeles, CA",City B,,
3UOMW19E7N3ZMZNL5004LQFZO5G5C5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3C8HJ7UOPIRCPJHVFF601ANU8SEZM0,A2H1RXUC8XNNIW,Submitted,Tue Feb 08 16:19:12 PST 2022,Tue Feb 08 16:20:30 PST 2022,Fri Feb 11 16:20:30 PST 2022,,,,78,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Los Angeles, CA",City A,,
3FTID4TN9VVQRRRBTFY0Z63FDJXYLT,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,30JNVC0ORKHHJDFT1M7AIC3UM3UQHO,A2WKD3X0IQ2R0W,Submitted,Tue Feb 08 16:17:52 PST 2022,Tue Feb 08 16:18:34 PST 2022,Fri Feb 11 16:18:34 PST 2022,,,,42,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Chicago, IL",City A,,
3FTID4TN9VVQRRRBTFY0Z63FDJXYLT,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3TY7ZAOG5QHKXAB2Q9GSGYS41G30K7,A30U92PQ8PHV0W,Submitted,Tue Feb 08 16:28:20 PST 2022,Tue Feb 08 16:28:52 PST 2022,Fri Feb 11 16:28:52 PST 2022,,,,32,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Chicago, IL",City A,,
3FTID4TN9VVQRRRBTFY0Z63FDJXYLT,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3DYGAII7PW59WUDHKZFFRL5L8U4PQS,A3V236UP0VOYCH,Submitted,Tue Feb 08 16:16:54 PST 2022,Tue Feb 08 16:16:59 PST 2022,Fri Feb 11 16:16:59 PST 2022,,,,5,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Chicago, IL",City A,,
3M47JKRKD7YTT0XMT7U4BAXGU9686I,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3Y5140Z9D8DWFWPY7RA6IJEZHKNIPI,A2572CYRIYT5JQ,Submitted,Tue Feb 08 16:17:23 PST 2022,Tue Feb 08 16:17:32 PST 2022,Fri Feb 11 16:17:32 PST 2022,,,,9,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Washington, DC",City B,,
3M47JKRKD7YTT0XMT7U4BAXGU9686I,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,39GXDJN2O4BGVAAHKH7EBM930CJV88,A2FO6J0H70OW05,Submitted,Tue Feb 08 16:17:22 PST 2022,Tue Feb 08 16:17:30 PST 2022,Fri Feb 11 16:17:30 PST 2022,,,,8,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Washington, DC",City B,,
3M47JKRKD7YTT0XMT7U4BAXGU9686I,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,32UTUBMZ7RTZX88ONTRO2OZ48I4VB7,ARUXF7MD6PFIJ,Submitted,Tue Feb 08 16:17:19 PST 2022,Tue Feb 08 16:17:24 PST 2022,Fri Feb 11 16:17:24 PST 2022,,,,5,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Washington, DC",City A,,
3J94SKDELSM9RRTZ5WVF5WXH95S5D5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3V26SBZTBOBCOQGEU4WU9CJ3NWWZZH,A1QXLNDV3D9LK3,Submitted,Tue Feb 08 16:17:22 PST 2022,Tue Feb 08 16:17:31 PST 2022,Fri Feb 11 16:17:31 PST 2022,,,,9,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Boston, MA",City A,,
3J94SKDELSM9RRTZ5WVF5WXH95S5D5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3M23Y66POD4DZ4APX75BGLT5VDZS6E,A2FHJCRBRP7VH4,Submitted,Tue Feb 08 16:16:47 PST 2022,Tue Feb 08 16:16:52 PST 2022,Fri Feb 11 16:16:52 PST 2022,,,,5,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Boston, MA",City A,,
3J94SKDELSM9RRTZ5WVF5WXH95S5D5,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3DOCMVPBTYBOQCOCOSA6J25L34GNN7,ARUXF7MD6PFIJ,Submitted,Tue Feb 08 16:17:13 PST 2022,Tue Feb 08 16:17:19 PST 2022,Fri Feb 11 16:17:19 PST 2022,,,,6,0% (0/0),0% (0/0),0% (0/0),"New York, NY","Boston, MA",City A,,
3B286OTITOEJ0J58AO87G58G63QAJU,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3I33IC7ZWQZLH75UT57H58INT2R2AC,A1QXLNDV3D9LK3,Submitted,Tue Feb 08 16:17:15 PST 2022,Tue Feb 08 16:17:21 PST 2022,Fri Feb 11 16:17:21 PST 2022,,,,6,0% (0/0),0% (0/0),0% (0/0),"New York, NY","El Paso, TX",City A,,
3B286OTITOEJ0J58AO87G58G63QAJU,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3FE2ERCCZ856BI015MNB2GALTTMPOK,A3V236UP0VOYCH,Submitted,Tue Feb 08 16:17:05 PST 2022,Tue Feb 08 16:17:08 PST 2022,Fri Feb 11 16:17:08 PST 2022,,,,3,0% (0/0),0% (0/0),0% (0/0),"New York, NY","El Paso, TX",City A,,
3B286OTITOEJ0J58AO87G58G63QAJU,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3Z4XG4ZF4JO8ZZFCKW8WZ76OGNRX8D,A3VEF4M5FIN7KH,Submitted,Tue Feb 08 16:16:54 PST 2022,Tue Feb 08 16:17:00 PST 2022,Fri Feb 11 16:17:00 PST 2022,,,,6,0% (0/0),0% (0/0),0% (0/0),"New York, NY","El Paso, TX",City A,,
3Y7LTZE0Z3JTF7OAYFSK4080W4UZUF,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3RU7GD8VPZQL9ASUC34KMLKMQIPSPK,A2SFICL489AF73,Submitted,Tue Feb 08 16:17:27 PST 2022,Tue Feb 08 16:17:34 PST 2022,Fri Feb 11 16:17:34 PST 2022,,,,7,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Chicago, IL",City A,,
3Y7LTZE0Z3JTF7OAYFSK4080W4UZUF,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3UWN2HHPU92L6PGHWORSIWFRQ3OSNO,A3V236UP0VOYCH,Submitted,Tue Feb 08 16:17:21 PST 2022,Tue Feb 08 16:17:24 PST 2022,Fri Feb 11 16:17:24 PST 2022,,,,3,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Chicago, IL",City A,,
3Y7LTZE0Z3JTF7OAYFSK4080W4UZUF,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3P4RDNWNDG30TLM0CE5MLNSN8LHIJI,ARUXF7MD6PFIJ,Submitted,Tue Feb 08 16:17:07 PST 2022,Tue Feb 08 16:17:12 PST 2022,Fri Feb 11 16:17:12 PST 2022,,,,5,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Chicago, IL",City A,,
3CO05SML8524XUQ3QRKNTQIU7Y7R0B,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3JBT3HLQFJZIAME87VYSIEHPDXPZPW,A3DFFAHGE8Z5X5,Submitted,Tue Feb 08 16:16:55 PST 2022,Tue Feb 08 16:17:25 PST 2022,Fri Feb 11 16:17:25 PST 2022,,,,30,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Washington, DC",City A,,
3CO05SML8524XUQ3QRKNTQIU7Y7R0B,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3VBEN272MVWFWXZV9KEXSC6UPR2SGG,A3V236UP0VOYCH,Submitted,Tue Feb 08 16:17:00 PST 2022,Tue Feb 08 16:17:05 PST 2022,Fri Feb 11 16:17:05 PST 2022,,,,5,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Washington, DC",City A,,
3CO05SML8524XUQ3QRKNTQIU7Y7R0B,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3R9WASFE2AD6J9PETS2N6K3LBR2FZ9,ARUXF7MD6PFIJ,Submitted,Tue Feb 08 16:17:01 PST 2022,Tue Feb 08 16:17:07 PST 2022,Fri Feb 11 16:17:07 PST 2022,,,,6,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Washington, DC",City A,,
3L4YG5VWAXP4V48SK2DY38L9MMQDDL,3VUPA8U9X9XYHL0OV0FH5VKE9H7XF9,Which city is more politically liberal?,Which city do you think more politically liberal?,"item, equality, comparison",$0.01 ,Tue Feb 08 16:16:36 PST 2022,3,BatchId:4665859;OriginalHitTemplateId:928390889;,600,259200,Wed Feb 09 16:16:36 PST 2022,,,3X31TUMD78JVO5E27SWT93OTV8BL1V,A2FO6J0H70OW05,Submitted,Tue Feb 08 16:17:14 PST 2022,Tue Feb 08 16:17:22 PST 2022,Fri Feb 11 16:17:22 PST 2022,,,,8,0% (0/0),0% (0/0),0% (0/0),"Los Angeles, CA","Boston, MA",City A,,
